OverallEpisode #,Original airdate,Iron Chef,Challenger,Challenger Specialty,Theme Ingredient,Winner
224,"May 15, 1998",Masaharu Morimoto,Yasuhiko Habuchi (羽渕康彦),French,Asparagus,Masaharu Morimoto
225,"May 22, 1998",Chen Kenichi,"Liang Shuqing (粱樹卿, Ryō Jukei)",Chinese (Cantonese),Pork belly,Draw
226,"May 29, 1998",Chen Kenichi,"Liang Shuqing (粱樹卿, Ryō Jukei)",Chinese (Cantonese),Konnyaku,Liang Shuqing
227,"June 5, 1998",Hiroyuki Sakai,Kumiko Kobayashi (小林久美子),French,Mishima beef,Hiroyuki Sakai
228,"June 12, 1998",Masaharu Morimoto,Ken'ichi Miyanaga (宮永賢一),Japanese,Sweetfish,Masaharu Morimoto
229,"June 19, 1998",Chen Kenichi,Kentarō (ケンタロウ),,New potato,Chen Kenichi
230,"June 26, 1998",Masahiko Kobe,Yasuhiro Sasajima (笹島保弘),Italian,Kamo eggplant,Masahiko Kobe
231,"July 3, 1998",Masaharu Morimoto,Takaji Yoshida (吉田隆二),Japanese,Tofu,Masaharu Morimoto
232,"July 10, 1998",Hiroyuki Sakai,Shūzō Shimokawa (下川秀蔵),Chinese (Cantonese),Jinhua pork,Hiroyuki Sakai
233,"July 17, 1998",Chen Kenichi,Jun'ichi Itō (伊東淳一),French-Italian-Japanese fusion,Yogurt,Chen Kenichi
234,"July 24, 1998",Masaharu Morimoto,Takeshi Kajimoto (梶本剛史),Japanese,Abalone,Takeshi Kajimoto
235,"July 31, 1998",Masahiko Kobe,Miyoko Sakai (酒井美代子),Thai,Japanese blue crab,Masahiko Kobe
236,"August 7, 1998",Masaharu Morimoto,Hirokazu Handa (半田博一),Japanese,Giant eel,Masaharu Morimoto
237,"August 14, 1998",Hiroyuki Sakai,Masanobu Watabe (渡部政信),French,Peach,Hiroyuki Sakai
238,"August 21, 1998",Chen Kenichi,Kaoru Miyazawa (宮澤 薫),Chinese (Chiuchow),Carp,Chen Kenichi
239,"August 28, 1998","""All French""(Hiroyuki Sakai,Yutaka Ishinabe,& Etsuo Jō)","""All China""(Chen Kenichi,Shōzō Miyamoto,& Yūji Wakiya)","2,000th Plate[34]","Spare rib, snapping turtle, and banana","""All French"""
239,"September 4, 1998","""All French""(Hiroyuki Sakai,Yutaka Ishinabe,& Etsuo Jō)","""All China""(Chen Kenichi,Shōzō Miyamoto,& Yūji Wakiya)","2,000th Plate[34]","Spare rib, snapping turtle, and banana","""All French"""
240,"September 11, 1998",Hiroyuki Sakai,Kyōnori Miura (三浦経則),Italian,Squid,Hiroyuki Sakai
241,"September 18, 1998",Chen Kenichi,Hideki Maruyama (丸山日出樹),Italian,Sardine,Chen Kenichi
242,"September 25, 1998",Masaharu Morimoto,Shuichi Fujii (藤井修一),Japanese,Unisex salmon,Masaharu Morimoto
243,"October 2, 1998",Masahiko Kobe,Shin'ya Tasaki (田崎真也),Wine,Fatty tuna,Shin'ya Tasaki
244,"October 9, 1998",Hiroyuki Sakai,Ron Siegel,French,Lobster,Ron Siegel
245,"October 16, 1998",Chen Kenichi,Kyōko Kagata,French,Veal,Chen Kenichi
246,"October 23, 1998",Masaharu Morimoto,Tatsutoshi Kumamoto (隈本辰利),Japanese,Natto,Masaharu Morimoto
247,"October 30, 1998",Masahiko Kobe,Kensuke Sakai (坂井謙介),Italian,Pumpkin,Masahiko Kobe
248,"November 6, 1998",Hiroyuki Sakai,Kazumi Nagayama (永山和美),Japanese,Pacific saury,Hiroyuki Sakai
249,"November 13, 1998",Chen Kenichi,Hisao Yaginuma (八木沼久男),Chinese (Cantonese),Shanghai cabbage,Chen Kenichi
250,"November 20, 1998",Masahiko Kobe,Takatsugu Sasaoka (笹岡隆次),Japanese,Maitake mushroom,Takatsugu Sasaoka
251,"November 27, 1998",Masaharu Morimoto,Marco Molinari,Italian,Porcini,Marco Molinari
252,"December 4, 1998",Hiroyuki Sakai,Mitsuo Hazama (間 光男),French,Duck,Hiroyuki Sakai
253,"December 11, 1998",Masahiko Kobe,Hiromichi Yoneda (米田裕道),Italian,Octopus,Masahiko Kobe
254,"December 18, 1998",Chen Kenichi,Mitsuo Suganuma (菅沼美都雄),Chinese (Cantonese),Shark fin,Chen Kenichi
255,"December 25, 1998",Masaharu Morimoto,Jirō Ogue (小久江次郎),French,Turkey,Masaharu Morimoto
256,"January 8, 1999",Chen Kenichi,"Xie Huaxian (謝華顕, Sha Kaken)",Chinese (Cantonese),Spiny lobster,Xie Huaxian
257,"January 15, 1999",Hiroyuki Sakai,Kōei Kamimura (上村孝栄),Japanese,Cod,Hiroyuki Sakai
258,"January 22, 1999",Masahiko Kobe,Costantino Gemmoli,Italian,Bell pepper,Masahiko Kobe
259,"January 29, 1999",Masaharu Morimoto,Hiroyuki Hakogi (函城弘行),Japanese,Yellowtail,Masaharu Morimoto
260,"February 5, 1999",Masaharu Morimoto,Tetsuji Iio (飯尾哲司),French,King crab,Masaharu Morimoto
261,"February 12, 1999",Masahiko Kobe,Hironobu Tsujiguchi (辻口博啓),Dessert,Banana,Hironobu Tsujiguchi
262,"February 19, 1999",Hiroyuki Sakai,Toshiya Senba (仙場才也),Japanese,Asura oyster,Hiroyuki Sakai
263,"February 26, 1999",Chen Kenichi,Ryōzō Asō (浅生良三),French,Sturgeon,Chen Kenichi
264[35],"March 5, 1999",Michiba and Morimoto tour New York City. No battles were held in this part.,Michiba and Morimoto tour New York City. No battles were held in this part.,Michiba and Morimoto tour New York City. No battles were held in this part.,Michiba and Morimoto tour New York City. No battles were held in this part.,Michiba and Morimoto tour New York City. No battles were held in this part.
264[35],"March 12, 1999",Masaharu Morimoto,Komei Nakamura,Iron Chef,Egg,Komei Nakamura
265,"March 19, 1999",Hiroyuki Sakai,Kōji Hosogai (細貝孝司),French,Oxtail,Hiroyuki Sakai
266,"March 26, 1999",Masaharu Morimoto,Seiya Masahara (正原聖也),Japanese,Anglerfish,Seiya Masahara
267,"April 2, 1999",Chen Kenichi,"Cui Yufen (崔玉芬, Gai Gyokufun)",Chinese (Beijing),Chinese cabbage,Cui Yufen
268,"April 9, 1999",Hiroyuki Sakai,Tōru Komori (小森 亨),Japanese,Udon,Tōru Komori
269,"April 16, 1999",Masahiko Kobe,Franco Canzoniere,Italian,Tomato,Masahiko Kobe
270,"April 23, 1999",Masaharu Morimoto,Yūsuke Yamashita (山下裕輔),Japanese,Cod roe,Draw
271,"April 30, 1999",Masaharu Morimoto,Yūsuke Yamashita (山下裕輔),Japanese,Scallion,Masaharu Morimoto
272,"May 7, 1999",Chen Kenichi,Takeshi Ōkubo (大久保武志),Chinese (Cantonese),Bean sprout,Takeshi Ōkubo
273,"May 14, 1999",Hiroyuki Sakai,Michel Husser,French,Lamb,Michel Husser
274[36],"May 21, 1999",Chen Kenichi,Spano Stelvio,Italian,Suckling pig,Chen Kenichi
275,"May 28, 1999",Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).
275,"June 4, 1999",Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).,Morimoto and Michiba tour Indonesia. No battles were held in this episode (in both parts).
276,"June 11, 1999",Masahiko Kobe,Makoto Osada (長田 誠),Chinese (Cantonese),Giant lobster,Masahiko Kobe
277,"June 18, 1999",Masaharu Morimoto,Keiji Nakazawa (中澤圭二)[37],Japanese,Sushi[38],Masaharu Morimoto
278,"June 25, 1999",Hiroyuki Sakai,Isao Makio (牧尾 勲),French,Black pork,Hiroyuki Sakai
279,"July 2, 1999",Masaharu Morimoto,Michael Noble,French,Potato,Masaharu Morimoto
280,"July 9, 1999",Chen Kenichi,Yūji Tateno (舘野雄二),Japanese,Sea urchin roe,Chen Kenichi
281,"July 16, 1999",Masaharu Morimoto,Yoshimi Tanigawa (谷河吉己),Japanese,Pike eel,Yoshimi Tanigawa
282,"July 23, 1999",Masahiko Kobe,Shōji Yamaoka (山岡昌治),French,Jumbo mushroom,Masahiko Kobe
283,"July 30, 1999",Chen Kenichi,Dominique Corby,French,Foie gras,Draw
284,"August 6, 1999",Chen Kenichi,Dominique Corby,French,Asparagus,Draw[39]
285,"August 13, 1999",Masahiko Kobe,Hiroki Sakai (坂井博基),Italian,Conger eel,Masahiko Kobe
286,"August 20, 1999",Masaharu Morimoto,Akira Watanabe (渡辺 明),Italian,Cuttlefish,Masaharu Morimoto
287,"August 27, 1999",Hiroyuki Sakai,Yoshihide Koga (古賀義英),French,Stingray,Hiroyuki Sakai
288,"September 3, 1999",Masaharu Morimoto,Ryōzō Shigematsu (重松良三),Japanese,Sea bass,Masaharu Morimoto
289,"September 10, 1999",Chen Kenichi,Masahiko Kobe,King of Iron Chefs[40],Tokyo-X pork,Chen Kenichi
290,"September 17, 1999",Hiroyuki Sakai,Masaharu Morimoto,King of Iron Chefs[40],Bell pepper,Hiroyuki Sakai
291,"September 24, 1999",Hiroyuki Sakai,Chen Kenichi,King of Iron Chefs[40],Homard lobster,Hiroyuki Sakai
291,"September 24, 1999",Hiroyuki Sakai,Alain Passard,French,Longgang chicken,Hiroyuki Sakai
